BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName,Color
474300,VISA,CREDIT,CLASSIC,"WELLS FARGO BANK, N.A.",+18008693557,https://www.wellsfargo.com,US,USA,UNITED STATES,#a00000
474306,VISA,CREDIT,CLASSIC,ONPOINT COMMUNITY CREDIT UNION,,,US,USA,UNITED STATES,
474383,VISA,CREDIT,CLASSIC,RABOBANK,+12129167800,https://www.rabobank.com,US,USA,UNITED STATES,
474390,VISA,CREDIT,CLASSIC,"SANTANDER BANK, N.A.",+18777682265,https://www.santanderbank.com,US,USA,UNITED STATES,
474391,VISA,CREDIT,CLASSIC,"SANTANDER BANK, N.A.",+18777682265,https://www.santanderbank.com,US,USA,UNITED STATES,
474396,VISA,CREDIT,BUSINESS,DUTRAC COMMUNITY CREDIT UNION,+18004751331,https://www.dutrac.org,US,USA,UNITED STATES,
474397,VISA,CREDIT,BUSINESS,"PNC BANK, NATIONAL ASSOCIATION - CONSUMER CREDIT",,,US,USA,UNITED STATES,
474398,VISA,CREDIT,BUSINESS,ARRHA CREDIT UNION,,,US,USA,UNITED STATES,
474399,VISA,CREDIT,CLASSIC,ARRHA CREDIT UNION,,,US,USA,UNITED STATES,
474400,VISA,CREDIT,CLASSIC,"FIDELITY INFORMATION SERVICES, INC.",+12122706000,http://www.jpmorganchase.com,US,USA,UNITED STATES,
474402,VISA,CREDIT,CLASSIC,POLISH & SLAVIC FEDERAL CREDIT UNION,+18557732848,https://en.psfcu.com,US,USA,UNITED STATES,
